Group,Date,Actual,TestForecast,DataType
Advisory Services,2020-09-01,106961.5,,Train
Advisory Services,2020-10-01,2342004.13,,Train
Advisory Services,2020-11-01,3359809.39,,Train
Advisory Services,2020-12-01,2497103.67,,Train
Advisory Services,2021-01-01,664496.91,,Train
Advisory Services,2021-02-01,1929541.85,,Train
Advisory Services,2021-03-01,2410909.42,,Train
Advisory Services,2021-04-01,2478395.67,,Train
Advisory Services,2021-05-01,1257863.51,,Train
Advisory Services,2021-06-01,2920408.58,,Train
Advisory Services,2021-07-01,1706578.31,,Train
Advisory Services,2021-08-01,2312979.29,,Train
Advisory Services,2021-09-01,2437375.21,,Train
Advisory Services,2021-10-01,2139604.02,,Train
Advisory Services,2021-11-01,1554716.01,,Train
Advisory Services,2021-12-01,3773633.49,,Train
Advisory Services,2022-01-01,1956272.26,,Train
Advisory Services,2022-02-01,2702125.63,,Train
Advisory Services,2022-03-01,2048795.93,,Train
Advisory Services,2022-04-01,2776370.55,,Train
Advisory Services,2022-05-01,3057495.38,,Train
Advisory Services,2022-06-01,5494516.9,,Train
Advisory Services,2022-07-01,4557554.38,,Train
Advisory Services,2022-08-01,2320794.25,,Train
Advisory Services,2022-09-01,3911059.1,,Train
Advisory Services,2022-10-01,2819320.36,,Train
Advisory Services,2022-11-01,4095932.34,,Train
Advisory Services,2022-12-01,3803877.69,,Train
Advisory Services,2023-01-01,3523033.4699999997,,Train
Advisory Services,2023-02-01,2428025.99,,Train
Advisory Services,2023-03-01,4456903.18,,Train
Advisory Services,2023-04-01,3631136.48,,Train
Advisory Services,2023-05-01,3816816.62,,Train
Advisory Services,2023-06-01,4818865.63,,Train
Advisory Services,2023-07-01,4503172.03,,Train
Advisory Services,2023-08-01,4221376.45,,Train
Advisory Services,2023-09-01,4461500.36,,Train
Advisory Services,2023-10-01,1710339.3,,Train
Advisory Services,2023-11-01,6230995.0,,Train
Advisory Services,2023-12-01,5146037.71,,Train
Advisory Services,2024-01-01,4317343.43,,Train
Advisory Services,2024-02-01,4790320.7299999995,,Train
