Group,Date,Forecast,DataType
Advisory Services,2025-06-01,3989527.055121905,Forecast
Advisory Services,2025-07-01,3937791.8838292332,Forecast
Advisory Services,2025-08-01,3886727.6010683924,Forecast
Advisory Services,2025-09-01,3836325.506927673,Forecast
Advisory Services,2025-10-01,3786577.0143136065,Forecast
Advisory Services,2025-11-01,3737473.6474879878,Forecast
Advisory Services,2025-12-01,3689007.0406238055,Forecast
Advisory Services,2026-01-01,3641168.936379971,Forecast
Advisory Services,2026-02-01,3593951.1844944865,Forecast
Advisory Services,2026-03-01,3547345.740395896,Forecast
Advisory Services,2026-04-01,3501344.6638326794,Forecast
Advisory Services,2026-05-01,3455940.117520477,Forecast
Business (Corporate) Services,2025-06-01,9761646.241222672,Forecast
Business (Corporate) Services,2025-07-01,10055585.31917669,Forecast
Business (Corporate) Services,2025-08-01,10358375.381832857,Forecast
Business (Corporate) Services,2025-09-01,10670282.946765937,Forecast
Business (Corporate) Services,2025-10-01,10991582.556829253,Forecast
Business (Corporate) Services,2025-11-01,11322557.021809002,Forecast
Business (Corporate) Services,2025-12-01,11663497.66735486,Forecast
Business (Corporate) Services,2026-01-01,12014704.59140661,Forecast
Business (Corporate) Services,2026-02-01,12376486.928342236,Forecast
Business (Corporate) Services,2026-03-01,12749163.121079545,Forecast
Business (Corporate) Services,2026-04-01,13133061.201371597,Forecast
Business (Corporate) Services,2026-05-01,13528519.078542305,Forecast
Construction Services,2025-06-01,18141935.062010538,Forecast
Construction Services,2025-07-01,18389399.887999628,Forecast
Construction Services,2025-08-01,18640240.25468448,Forecast
Construction Services,2025-09-01,18894502.206083387,Forecast
Construction Services,2025-10-01,19152232.414277654,Forecast
Construction Services,2025-11-01,19413478.187978297,Forecast
Construction Services,2025-12-01,19678287.481210247,Forecast
Construction Services,2026-01-01,19946708.902114686,Forecast
Construction Services,2026-02-01,20218791.721871495,Forecast
Construction Services,2026-03-01,20494585.88374337,Forecast
Construction Services,2026-04-01,20774142.01224364,Forecast
Construction Services,2026-05-01,21057511.422428414,Forecast
Facilities Management,2025-06-01,4465667.482461252,Forecast
Facilities Management,2025-07-01,4545873.352038481,Forecast
Facilities Management,2025-08-01,4627519.763604102,Forecast
Facilities Management,2025-09-01,4710632.590092723,Forecast
Facilities Management,2025-10-01,4795238.169131265,Forecast
Facilities Management,2025-11-01,4881363.311385053,Forecast
Facilities Management,2025-12-01,4969035.309053872,Forecast
Facilities Management,2026-01-01,5058281.944520551,Forecast
Facilities Management,2026-02-01,5149131.499154983,Forecast
Facilities Management,2026-03-01,5241612.76227617,Forecast
Facilities Management,2026-04-01,5335755.040275292,Forecast
Facilities Management,2026-05-01,5431588.16590257,Forecast
Fleet,2025-06-01,3746584.6097131935,Forecast
Fleet,2025-07-01,3865943.0703339125,Forecast
Fleet,2025-08-01,3989104.0454060095,Forecast
Fleet,2025-09-01,4116188.6751995333,Forecast
Fleet,2025-10-01,4247321.959263779,Forecast
Fleet,2025-11-01,4382632.879375926,Forecast
Fleet,2025-12-01,4522254.526406634,Forecast
Fleet,2026-01-01,4666324.231227284,Forecast
Fleet,2026-02-01,4814983.699787652,Forecast
