Group,MAE,RMSE,MAPE,DriftFlag,SpendRelativeChange
ZINFRA PTY LTD,4876252.536191071,6108168.551542711,148.23196590195587,True,0.6512585181937974
CONSOLIDATED POWER PROJECTS_035038,1661313.982523278,1860606.3748656225,inf,True,0.7629732777336034
TAIHAN ELECTRIC AUSTRALIA P/L,1307621.743331536,1573897.4274869286,inf,True,0.6298782054972174
UGL ENGINEERING PTY LTD_029620,5232748.295886266,6075555.474912792,inf,True,1.7488422226520053
DOWNER UTILITIES AUSTRALIA P/L,720683.7286167311,758613.1246343371,99.99958530449562,True,0.6992818403390468
Enerven Energy Infrastructure Pty Ltd,575057410445.1185,1531520686193.969,11768564.289070455,True,2.144397587361255
SG FLEET AUSTRALIA PTY LTD,1716439.3927222847,1841126.3313770944,89.65444255056157,True,0.7416587385510792
AURECON AUSTRALASIA PTY LTD,1692185.644381468,1781130.348468244,364.5331552264116,True,0.48277874503031454
BGIS,1212389.9894580708,1278473.4515548607,99.98538624006733,False,0.01119315651039857
TESLA MOTORS AUSTRALIA,37978.829166774034,85784.79529889059,inf,True,0.9741269451408856
SIEMENS ENERGY - Substation Equipment,96857.1204771364,234697.3128599182,inf,True,0.9209786224370644
TEC-C INVESTMENTS PTY LTD,3.811714065132607e+29,1.3114769969232822e+30,6.849376081461642e+24,True,4.5544108099916345
Hitachi Energy Australia Pty Ltd.,3286549.5243895384,3740958.63730411,814.7288717495757,False,0.20354955314361908
HYOSUNG HEAVY INDUSTRIES CORPORATION,806619.8333344379,1925944.8535197882,inf,False,0.03489227004521774
TOSHIBA INTERNATIONAL,3161785.896632076,5086597.679644726,199.0350172755741,True,1.4895888343267365
AON RISK SERVICES AUSTRALIA LTD,2214900.209171606,7061895.048693822,inf,True,23.69404795829072
AStar Rigging,623551.2270635844,789856.5880821082,58.50020460321576,True,0.9375613200427503
AUSTRALIAN ENERGY MARKET,643813.6316200102,785852.8564660922,2062.516421196485,True,0.6125979684279383
ACTIVE TREE SERVICES PTY LTD_029463,535903.0972373207,585597.9858994291,inf,False,0.008265905170442482
WSP AUSTRALIA PTY LTD,499993.92680218635,644670.5128799396,73.5441141054113,True,0.31011378112002985
