Group,Date,Actual,TestForecast,DataType
ZINFRA PTY LTD,2020-10-01,14112134.41,,Train
ZINFRA PTY LTD,2020-11-01,6478998.83,,Train
ZINFRA PTY LTD,2020-12-01,8719768.81,,Train
ZINFRA PTY LTD,2021-01-01,8755888.2,,Train
ZINFRA PTY LTD,2021-02-01,6757107.91,,Train
ZINFRA PTY LTD,2021-03-01,6766279.2,,Train
ZINFRA PTY LTD,2021-04-01,6272760.6899999995,,Train
ZINFRA PTY LTD,2021-05-01,4931709.5,,Train
ZINFRA PTY LTD,2021-06-01,6597651.7,,Train
ZINFRA PTY LTD,2021-07-01,2708651.98,,Train
ZINFRA PTY LTD,2021-08-01,2748046.01,,Train
ZINFRA PTY LTD,2021-09-01,6073503.91,,Train
ZINFRA PTY LTD,2021-10-01,2725175.7,,Train
ZINFRA PTY LTD,2021-11-01,1799066.16,,Train
ZINFRA PTY LTD,2021-12-01,4005951.05,,Train
ZINFRA PTY LTD,2022-01-01,3007486.48,,Train
ZINFRA PTY LTD,2022-02-01,2778684.2399999998,,Train
ZINFRA PTY LTD,2022-03-01,3965290.02,,Train
ZINFRA PTY LTD,2022-04-01,2257053.24,,Train
ZINFRA PTY LTD,2022-05-01,2173245.84,,Train
ZINFRA PTY LTD,2022-06-01,5375019.24,,Train
ZINFRA PTY LTD,2022-07-01,12332285.13,,Train
ZINFRA PTY LTD,2022-08-01,3003859.27,,Train
ZINFRA PTY LTD,2022-09-01,614653.93,,Train
ZINFRA PTY LTD,2022-10-01,5352734.28,,Train
ZINFRA PTY LTD,2022-11-01,5783559.19,,Train
ZINFRA PTY LTD,2022-12-01,4063229.31,,Train
ZINFRA PTY LTD,2023-01-01,2246918.31,,Train
ZINFRA PTY LTD,2023-02-01,1477155.86,,Train
ZINFRA PTY LTD,2023-03-01,5995373.2,,Train
ZINFRA PTY LTD,2023-04-01,3006405.98,,Train
ZINFRA PTY LTD,2023-05-01,3978348.74,,Train
ZINFRA PTY LTD,2023-06-01,3124368.16,,Train
ZINFRA PTY LTD,2023-07-01,5987340.53,,Train
ZINFRA PTY LTD,2023-08-01,3729269.27,,Train
ZINFRA PTY LTD,2023-09-01,3103860.86,,Train
ZINFRA PTY LTD,2023-10-01,5469039.37,,Train
ZINFRA PTY LTD,2023-11-01,2262840.17,,Train
ZINFRA PTY LTD,2023-12-01,5213092.51,,Train
ZINFRA PTY LTD,2024-01-01,8415469.41,,Train
ZINFRA PTY LTD,2024-02-01,6558886.42,,Train
ZINFRA PTY LTD,2024-03-01,12887354.97,,Train
ZINFRA PTY LTD,2024-04-01,3849661.4,,Train
ZINFRA PTY LTD,2024-05-01,10411545.46,,Train
ZINFRA PTY LTD,2024-06-01,11666458.71,7779600.047628872,Test
ZINFRA PTY LTD,2024-07-01,9704426.4,8399151.737983894,Test
ZINFRA PTY LTD,2024-08-01,10785840.25,9068043.278031912,Test
ZINFRA PTY LTD,2024-09-01,3336965.9499999997,9790203.994099747,Test
ZINFRA PTY LTD,2024-10-01,9887919.69,10569876.1361546,Test
ZINFRA PTY LTD,2024-11-01,7461222.8,11411639.79841299,Test
ZINFRA PTY LTD,2024-12-01,7574038.18,12320439.824576862,Test
ZINFRA PTY LTD,2025-01-01,8974595.69,13301614.855748322,Test
ZINFRA PTY LTD,2025-02-01,10153812.25,14360928.691662278,Test
ZINFRA PTY LTD,2025-03-01,1223647.0699999998,15504604.149464106,Test
ZINFRA PTY LTD,2025-04-01,13679975.16,16739359.618932426,Test
ZINFRA PTY LTD,2025-05-01,8173838.67,18072448.528886203,Test
CONSOLIDATED POWER PROJECTS_035038,2020-10-01,6594550.48,,Train
CONSOLIDATED POWER PROJECTS_035038,2020-11-01,18329980.58,,Train
CONSOLIDATED POWER PROJECTS_035038,2020-12-01,6110682.74,,Train
CONSOLIDATED POWER PROJECTS_035038,2021-01-01,1654835.65,,Train
CONSOLIDATED POWER PROJECTS_035038,2021-02-01,7128410.38,,Train
CONSOLIDATED POWER PROJECTS_035038,2021-03-01,11704678.02,,Train
CONSOLIDATED POWER PROJECTS_035038,2021-04-01,4938881.06,,Train
CONSOLIDATED POWER PROJECTS_035038,2021-05-01,4701345.84,,Train
CONSOLIDATED POWER PROJECTS_035038,2021-06-01,6860981.2,,Train
CONSOLIDATED POWER PROJECTS_035038,2021-07-01,7893649.01,,Train
CONSOLIDATED POWER PROJECTS_035038,2021-08-01,2498995.83,,Train
CONSOLIDATED POWER PROJECTS_035038,2021-09-01,2802040.79,,Train
CONSOLIDATED POWER PROJECTS_035038,2021-10-01,2300445.33,,Train
CONSOLIDATED POWER PROJECTS_035038,2021-11-01,2063002.3800000001,,Train
CONSOLIDATED POWER PROJECTS_035038,2021-12-01,5767665.7,,Train
CONSOLIDATED POWER PROJECTS_035038,2022-01-01,746788.4199999999,,Train
CONSOLIDATED POWER PROJECTS_035038,2022-02-01,2399864.85,,Train
CONSOLIDATED POWER PROJECTS_035038,2022-03-01,3429819.01,,Train
CONSOLIDATED POWER PROJECTS_035038,2022-04-01,2655970.32,,Train
CONSOLIDATED POWER PROJECTS_035038,2022-05-01,4592538.37,,Train
CONSOLIDATED POWER PROJECTS_035038,2022-06-01,3817747.25,,Train
CONSOLIDATED POWER PROJECTS_035038,2022-07-01,9242351.36,,Train
CONSOLIDATED POWER PROJECTS_035038,2022-08-01,8726346.26,,Train
CONSOLIDATED POWER PROJECTS_035038,2022-09-01,5626425.93,,Train
CONSOLIDATED POWER PROJECTS_035038,2022-10-01,7443758.88,,Train
CONSOLIDATED POWER PROJECTS_035038,2022-11-01,6246990.97,,Train
CONSOLIDATED POWER PROJECTS_035038,2022-12-01,8175915.59,,Train
CONSOLIDATED POWER PROJECTS_035038,2023-01-01,3802718.11,,Train
CONSOLIDATED POWER PROJECTS_035038,2023-02-01,6723250.48,,Train
CONSOLIDATED POWER PROJECTS_035038,2023-03-01,3724294.5999999996,,Train
CONSOLIDATED POWER PROJECTS_035038,2023-04-01,3797299.61,,Train
CONSOLIDATED POWER PROJECTS_035038,2023-05-01,1498133.87,,Train
CONSOLIDATED POWER PROJECTS_035038,2023-06-01,3094844.18,,Train
CONSOLIDATED POWER PROJECTS_035038,2023-07-01,9533017.9,,Train
