Group,Date,Forecast,DataType
ZINFRA PTY LTD,2025-06-01,7867084.293013251,Forecast
ZINFRA PTY LTD,2025-07-01,7809706.177898234,Forecast
ZINFRA PTY LTD,2025-08-01,7752746.54668038,Forecast
ZINFRA PTY LTD,2025-09-01,7696202.347172064,Forecast
ZINFRA PTY LTD,2025-10-01,7640070.549446625,Forecast
ZINFRA PTY LTD,2025-11-01,7584348.145675977,Forecast
ZINFRA PTY LTD,2025-12-01,7529032.149969493,Forecast
ZINFRA PTY LTD,2026-01-01,7474119.598213923,Forecast
ZINFRA PTY LTD,2026-02-01,7419607.547914603,Forecast
ZINFRA PTY LTD,2026-03-01,7365493.078037818,Forecast
ZINFRA PTY LTD,2026-04-01,7311773.2888542,Forecast
ZINFRA PTY LTD,2026-05-01,7258445.301783402,Forecast
CONSOLIDATED POWER PROJECTS_035038,2025-05-01,988.8760032050644,Forecast
CONSOLIDATED POWER PROJECTS_035038,2025-06-01,391.8829778686127,Forecast
CONSOLIDATED POWER PROJECTS_035038,2025-07-01,155.29982307733783,Forecast
CONSOLIDATED POWER PROJECTS_035038,2025-08-01,61.54397207816097,Forecast
CONSOLIDATED POWER PROJECTS_035038,2025-09-01,24.389342010204555,Forecast
CONSOLIDATED POWER PROJECTS_035038,2025-10-01,9.665284569791519,Forecast
CONSOLIDATED POWER PROJECTS_035038,2025-11-01,3.8302683924791348,Forecast
CONSOLIDATED POWER PROJECTS_035038,2025-12-01,1.5179021220211366,Forecast
CONSOLIDATED POWER PROJECTS_035038,2026-01-01,0.6015314374732346,Forecast
CONSOLIDATED POWER PROJECTS_035038,2026-02-01,0.23838168813336505,Forecast
CONSOLIDATED POWER PROJECTS_035038,2026-03-01,0.09446859415363724,Forecast
CONSOLIDATED POWER PROJECTS_035038,2026-04-01,0.03743708399435367,Forecast
TAIHAN ELECTRIC AUSTRALIA P/L,2025-06-01,2823.4005474324663,Forecast
TAIHAN ELECTRIC AUSTRALIA P/L,2025-07-01,2448.49536195866,Forecast
TAIHAN ELECTRIC AUSTRALIA P/L,2025-08-01,2123.3719540732195,Forecast
TAIHAN ELECTRIC AUSTRALIA P/L,2025-09-01,1841.4200514302809,Forecast
TAIHAN ELECTRIC AUSTRALIA P/L,2025-10-01,1596.9071265658117,Forecast
