Group,Date,Actual,TestForecast,DataType
Total,2020-09-01,1857464.81,,Train
Total,2020-10-01,63707072.83,,Train
Total,2020-11-01,46973223.18,,Train
Total,2020-12-01,70454626.69,,Train
Total,2021-01-01,43678674.31,,Train
Total,2021-02-01,53561691.31,,Train
Total,2021-03-01,96091422.91,,Train
Total,2021-04-01,92757585.36,,Train
Total,2021-05-01,36243008.94,,Train
Total,2021-06-01,105271827.41,,Train
Total,2021-07-01,59063862.55,,Train
Total,2021-08-01,33282249.2,,Train
Total,2021-09-01,34563955.19,,Train
Total,2021-10-01,33602097.87,,Train
Total,2021-11-01,40096453.6,,Train
Total,2021-12-01,58207013.55,,Train
Total,2022-01-01,24983236.02,,Train
Total,2022-02-01,35992139.95,,Train
Total,2022-03-01,39639945.19,,Train
Total,2022-04-01,41600047.9,,Train
Total,2022-05-01,42753317.54,,Train
Total,2022-06-01,68539441.42,,Train
Total,2022-07-01,69587108.33,,Train
Total,2022-08-01,54679306.22,,Train
Total,2022-09-01,43393450.71,,Train
Total,2022-10-01,51049668.9,,Train
Total,2022-11-01,51593050.32,,Train
Total,2022-12-01,52069543.84,,Train
Total,2023-01-01,41777934.9,,Train
Total,2023-02-01,39007024.83,,Train
Total,2023-03-01,55122325.51,,Train
Total,2023-04-01,44957780.05,,Train
Total,2023-05-01,49035713.99,,Train
Total,2023-06-01,77451259.65,,Train
Total,2023-07-01,68862260.7,,Train
Total,2023-08-01,56897757.99,,Train
Total,2023-09-01,55596221.32,,Train
Total,2023-10-01,19893131.88,,Train
Total,2023-11-01,63743528.04,,Train
Total,2023-12-01,54899187.1,,Train
Total,2024-01-01,50831599.2,,Train
Total,2024-02-01,56849555.57,,Train
Total,2024-03-01,65504411.839999996,,Train
Total,2024-04-01,46016937.08,,Train
Total,2024-05-01,62597889.57,,Train
Total,2024-06-01,55229076.53,57962709.972836,Test
Total,2024-07-01,78410979.0,58484065.20918845,Test
Total,2024-08-01,64024615.47,59010109.861936145,Test
Total,2024-09-01,54905655.24,59540886.110815324,Test
Total,2024-10-01,68058559.89,60076436.514954224,Test
Total,2024-11-01,75104661.4,60616804.01628647,Test
Total,2024-12-01,70136663.22,61162031.94299403,Test
Total,2025-01-01,75003458.54,61712164.012981206,Test
Total,2025-02-01,66428957.14,62267244.33738093,Test
Total,2025-03-01,95836673.14,62827317.42409038,Test
Total,2025-04-01,87566063.61,63392428.18134064,Test
Total,2025-05-01,91929097.96,63962621.921297364,Test
