Group,Date,Forecast,DataType
Total,2025-06-01,73691499.29711401,Forecast
Total,2025-07-01,74600873.44542977,Forecast
Total,2025-08-01,75521469.53046186,Forecast
Total,2025-09-01,76453426.03411393,Forecast
Total,2025-10-01,77396883.14719693,Forecast
Total,2025-11-01,78351982.7905154,Forecast
Total,2025-12-01,79318868.63621818,Forecast
Total,2026-01-01,80297686.12940839,Forecast
Total,2026-02-01,81288582.5100244,Forecast
Total,2026-03-01,82291706.83498658,Forecast
Total,2026-04-01,83307210.00062032,Forecast
Total,2026-05-01,84335244.76535559,Forecast
